,description,address,price
59,3 habs.2 baños104 m²con ascensor,PisoSarrià - Sant Gervasiahora,1.350 € /mes
60,4 habs.1 baño80 m²con ascensor,"PisoCarrer D'aragó, Eixampleahora",900 € /mes
61,4 habs.2 baños85 m²con ascensor y parking,"DúplexCarrer de Ballester, Sarrià - Sant Gervasiahora",2.700 € /mes
62,2 habs.2 baños100 m²con ascensor,PisoEixampleahora,1.600 € /mes
63,2 habs.1 baño41 m²con ascensor,"PisoCarrer de Llobet I Vall-llosera, Horta - Guinardóahora",625 € /mes
64,2 habs.2 baños137 m²con ascensor,PisoCiutat Vellaahora,2.550 € /mes
65,4 habs.2 baños101 m²con ascensor y terraza,"PisoCarrer de Fluvià, Sant Martíahora",925 € /mes
66,2 habs.2 baños79 m²con ascensor y terraza,"ÁticoCarrer Dels Pellaires, Sant Martíahora",2.200 € /mes
67,3 habs.2 baños85 m²con ascensor y parking,"DúplexCarrer de Ballester, Sarrià - Sant Gervasiahora",2.700 € /mes
68,2 habs.1 baño70 m²con ascensor y parking,"PisoCarrer de Novell, 51, Les Cortsahora",1.290 € /mes
69,3 habs.2 baños150 m²,"ApartamentoCarrer Mallorca, Eixampleahora",3.000 € /mes
70,2 habs.1 baño62 m²,"PisoCarrer de Mascaró, Horta - Guinardóahora",780 € /mes
71,5 habs.3 baños130 m²con ascensor,"PisoCarrer Muntaner, Eixampleahora",1.300 € /mes
72,4 habs.2 baños95 m²con ascensor y parking,"PisoCarrer de València, 643, Sant Martíahora",1.053 € /mes
73,1 hab.1 baño35 m²,"ApartamentoCarrer de València, Eixampleahora",1.250 € /mes
74,1 hab.1 baño55 m²,"PisoAurora, Ciutat Vellaahora",650 € /mes
75,4 habs.2 baños150 m²con ascensor,"PisoGran Via Corts Catalanes, Eixampleahora",1.500 € /mes
76,4 habs.2 baños130 m²con ascensor,"PisoPasseig de Sant Joan, 93, Eixampleahora",1.190 € /mes
77,2 habs.1 baño46 m²,"PisoFabra I Puig, Sant Andreuahora",660 € /mes
78,4 habs.2 baños123 m²con ascensor y terraza,PisoSarrià - Sant Gervasiahora,1.585 € /mes
79,4 habs.1 baño79 m²con ascensor,"PisoCarrer de Juan de Garay, Sant Andreuahora",950 € /mes
80,3 habs.3 baños140 m²con ascensor y parking,"PisoCarrer de la Nena Casas, Sarrià - Sant Gervasiahora",1.850 € /mes
81,3 habs.1 baño72 m²con ascensor,"PisoCarrer de la Independència, Sant Martíahora",1.080 € /mes
82,1 hab.1 baño90 m²con ascensor,"LoftMadrid, 118, Sants - Montjuïcahora",710 € /mes
83,4 habs.2 baños90 m²,"ApartamentoCarrer Secretario Coloma, Gràciaahora",2.200 € /mes
84,3 habs.2 baños98 m²,"ApartamentoPaseo Colón, Ciutat Vellaahora",3.468 € /mes
85,1 hab.1 baño45 m²con ascensor y parking,"ApartamentoCarrer de Beltran I Rózpide, 7, Les Cortsahora",1.100 € /mes
86,2 habs.2 baños73 m²con ascensor y parking,"PisoCalle Àvila, 171, Sant Martíahora",1.700 € /mes
87,46 m²,"LoftCarrer de Valldonzella, Ciutat Vellahace 11 minutos",590 € /mes
88,1 hab.1 baño55 m²,"PisoCarrer de la Creu Dels Molers, Sants - Montjuïchace 16 minutos",770 € /mes
89,3 habs.151 m²con ascensor,PisoSarrià - Sant Gervasihace 19 minutos,3.300 € /mes
90,2 habs.1 baño50 m²,PisoSants - Montjuïchace 20 minutos,700 € /mes
91,4 habs.138 m²con ascensor,PisoSarrià - Sant Gervasihace 20 minutos,2.900 € /mes
92,4 habs.153 m²con ascensor,PisoSarrià - Sant Gervasihace 21 minutos,3.300 € /mes
93,3 habs.113 m²con ascensor,PisoSarrià - Sant Gervasihace 21 minutos,2.300 € /mes
94,2 habs.1 baño38 m²con ascensor,"PisoCarrer del Mar, Ciutat Vellahace 26 minutos",825 € /mes
95,2 habs.1 baño76 m²con ascensor y terraza,"PisoCarme, Ciutat Vellahace 28 minutos",1.100 € /mes
96,2 habs.2 baños65 m²con ascensor y terraza,"PisoCarrer de Jerusalem, Ciutat Vellahace 28 minutos",1.000 € /mes
97,1 hab.1 baño61 m²con ascensor,"PisoCarrer de Josep Torres, 28, Gràciahace 1 hora",850 € /mes
98,2 habs.1 baño53 m²con ascensor,"PisoCarrer del Doctor Dou, Ciutat Vellahace 1 hora",850 € /mes
99,3 habs.1 baño77 m²con ascensor,"PisoCarrer D'aribau, 101, Eixamplehace 1 hora",900 € /mes
100,4 habs.3 baños202 m²con ascensor,"PisoCarrer del Comte D'urgell, Eixamplehace 2 horas",2.000 € /mes
101,2 habs.2 baños92 m²con ascensor,"PisoCarrer de Jovellanos, Ciutat Vellahace 2 horas",1.100 € /mes
102,3 habs.1 baño61 m²con ascensor,"PisoCarrer de L'alzina, 52, Gràciahace 2 horas",850 € /mes
103,3 habs.2 baños171 m²con ascensor,PisoEixamplehace 3 horas,2.850 € /mes
104,3 habs.2 baños180 m²con ascensor,ApartamentoEixamplehace 3 horas,2.500 € /mes
105,2 habs.2 baños60 m²con ascensor,ApartamentoEixamplehace 3 horas,1.500 € /mes
106,1 hab.1 baño74 m²con ascensor,ApartamentoSant Martíhace 3 horas,2.057 € /mes
107,3 habs.2 baños100 m²,"ApartamentoCarrer Dels Lledó, Ciutat Vellahace 4 horas",1.800 € /mes
108,1 hab.1 baño90 m²,"ApartamentoCarrer de Goya, Gràciahace 4 horas",1.800 € /mes
109,2 habs.2 baños62 m²,"ApartamentoPassatge de Mercader, Eixamplehace 4 horas",3.144 € /mes
110,3 habs.1 baño63 m²,"ApartamentoPasseig de Montjuïc, Sants - Montjuïchace 4 horas",1.550 € /mes
111,1 hab.1 baño55 m²,"ApartamentoCarrer de la França Xica, Sants - Montjuïchace 4 horas",1.800 € /mes
112,2 habs.1 baño65 m²,"ApartamentoPaseo Colón, Ciutat Vellahace 4 horas",2.400 € /mes
113,1 hab.1 baño48 m²,"ApartamentoCalle Boters, Ciutat Vellahace 4 horas",1.600 € /mes
114,3 habs.1 baño80 m²,"ApartamentoCarrer de la Junta de Comerç, Ciutat Vellahace 4 horas",976 € /mes
115,3 habs.1 baño80 m²,"ApartamentoCarrer de la Junta de Comerç, Ciutat Vellahace 4 horas",976 € /mes
116,2 habs.1 baño60 m²,"ApartamentoCarrer de Rocafort, Eixamplehace 4 horas",2.021 € /mes
117,2 habs.1 baño75 m²,"ApartamentoCarrer de la Indústria, Eixamplehace 4 horas",1.540 € /mes
118,4 habs.4 baños220 m²con ascensor,PisoSarrià - Sant Gervasihace 4 horas,4.000 € /mes
119,2 habs.2 baños60 m²con ascensor,"PisoCarrer de L'arc del Teatre, 9, Ciutat Vellahace 4 horas",900 € /mes
120,1 hab.1 baño40 m²con ascensor,"EstudioCarrer de Saragossa, 79, Sarrià - Sant Gervasihace 4 horas",890 € /mes
121,1 hab.1 baño58 m²con ascensor,ApartamentoSant Martíhace 4 horas,1.500 € /mes
122,3 habs.2 baños90 m²con ascensor,ApartamentoEixamplehace 6 horas,2.300 € /mes
123,2 habs.2 baños73 m²con ascensor y parking,"PisoCalle Àvila, 171, Sant Martíhace 6 horas",1.970 € /mes
124,2 habs.1 baño47 m²con ascensor,"PisoCalle Pallars, 276, Sant Martíhace 6 horas",1.210 € /mes
125,2 habs.1 baño47 m²,"PisoCalle Pallars, 276, Sant Martíhace 7 horas",1.185 € /mes
126,3 habs.2 baños100 m²con ascensor y parking,ApartamentoEixamplehace 7 horas,2.250 € /mes
127,2 habs.2 baños73 m²con ascensor y parking,"PisoCalle Àvila, 171, Sant Martíhace 7 horas",1.900 € /mes
128,3 habs.3 baños205 m²con ascensor,ApartamentoEixamplehace 8 horas,3.500 € /mes
129,3 habs.1 baño75 m²con ascensor y parking,"PisoCarrer de Caballero, 12, Les Cortshace 10 horas",1.250 € /mes
130,2 habs.2 baños59 m²con ascensor y terraza,"PisoPasseig de Maragall, 182, Nou Barrishace 11 horas",795 € /mes
131,3 habs.1 baño68 m²con ascensor,"PisoCarrer de Calderón de la Barca, 20, Horta - Guinardóhace 12 horas",780 € /mes
132,3 habs.1 baño101 m²con terraza,"PisoCarrer de la Unió, 16, Ciutat Vellahace 12 horas",950 € /mes
133,3 habs.1 baño85 m²con terraza,"PisoSant Pere Màrtir , Gràciahace 13 horas",895 € /mes
134,4 habs.2 baños90 m²con ascensor,"PisoBerlin, Sants - Montjuïchace 13 horas",995 € /mes
135,2 habs.1 baño51 m²,"PisoCarrer de Marín, 14, Nou Barrishace 13 horas",780 € /mes
136,3 habs.3 baños140 m²con ascensor y parking,"PisoCarrer D'homer, Sarrià - Sant Gervasihace 13 horas",2.400 € /mes
137,2 habs.1 baño72 m²con ascensor y terraza,"PisoCarrer del Parlament, 37, Eixamplehace 13 horas",1.170 € /mes
138,2 habs.1 baño65 m²con ascensor y parking,"PisoCarrer de Prats de Molló, Sarrià - Sant Gervasihace 13 horas",2.200 € /mes
139,3 habs.2 baños85 m²con ascensor y parking,"DúplexCarrer de Ballester, Sarrià - Sant Gervasihace 14 horas",2.700 € /mes
140,1 baño60 m²con ascensor,"LoftCarrer de Roger de Flor, Eixamplehace 14 horas",1.600 € /mes
141,3 habs.1 baño85 m²con ascensor,"PisoPasseig de Sant Joan, Eixamplehace 14 horas",1.300 € /mes
142,1 baño28 m²con ascensor,"ApartamentoCarrer del Marquès de Barberà, 19, Ciutat Vellahace 14 horas",650 € /mes
143,1 hab.1 baño40 m²,"PisoCarrer Sant Miquel, 63, Ciutat Vellahace 14 horas",730 € /mes
144,3 habs.2 baños140 m²con ascensor,"PisoCarrer de Balmes, Sarrià - Sant Gervasihace 14 horas",1.750 € /mes
145,2 habs.2 baños70 m²con ascensor,"PisoCarrer de Sardenya, Eixamplehace 14 horas",1.250 € /mes
146,1 hab.1 baño51 m²con ascensor y terraza,"PisoNapols, Gràciahace 14 horas",1.000 € /mes
147,1 hab.1 baño75 m²con ascensor,"ApartamentoCarrer Bisbe Sivilla, 23, Sarrià - Sant Gervasihace 14 horas",1.220 € /mes
148,2 habs.1 baño60 m²con ascensor,"PisoCarrer de la Legalitat, Gràciahace 14 horas",800 € /mes
149,7 habs.3 baños250 m²con ascensor,"PisoCarrer de Mallorca, Eixamplehace 14 horas",2.700 € /mes
150,3 habs.1 baño67 m²con ascensor,"PisoCarrer del Comte D'urgell, Eixamplehace 14 horas",980 € /mes
151,1 hab.1 baño95 m²con ascensor,"PisoPasseig de Maragall, Sant Andreuhace 14 horas",1.195 € /mes
152,1 hab.1 baño61 m²con ascensor,"ApartamentoCarrer Tantarantana, Ciutat Vellahace 14 horas",1.050 € /mes
153,4 habs.2 baños95 m²con ascensor y terraza,"PisoCarrer de la Diputació, Eixamplehace 14 horas",1.700 € /mes
154,4 habs.2 baños92 m²con ascensor y terraza,"PisoCarrer del Comte D'urgell, Eixamplehace 14 horas",1.800 € /mes
155,4 habs.2 baños120 m²con ascensor,"PisoGran Via de Les Corts Catalanes, Eixamplehace 14 horas",1.350 € /mes
156,2 habs.1 baño70 m²con ascensor y terraza,"PisoGran Via de Les Corts Catalanes, Sants - Montjuïchace 14 horas",930 € /mes
157,4 habs.1 baño87 m²con ascensor y terraza,"PisoAvinguda de la Mare de Déu de Montserrat, Horta - Guinardóhace 14 horas",995 € /mes
158,2 habs.1 baño65 m²con ascensor y terraza,PisoSarrià - Sant Gervasihace 14 horas,1.200 € /mes
159,2 habs.1 baño47 m²con ascensor,"PisoPlaça de Sant Josep Oriol, 5, Ciutat Vellahace 14 horas",850 € /mes
160,2 habs.2 baños80 m²,"PisoCamp, 71, Sarrià - Sant Gervasihace 14 horas",990 € /mes
161,2 habs.2 baños123 m²con ascensor,PisoCiutat Vellahace 14 horas,2.550 € /mes
162,2 habs.1 baño60 m²con ascensor,ApartamentoCiutat Vellahace 14 horas,1.150 € /mes
163,3 habs.1 baño75 m²con ascensor,ApartamentoCiutat Vellahace 14 horas,1.200 € /mes
164,2 habs.1 baño70 m²,PisoCiutat Vellahace 14 horas,1.300 € /mes
165,2 habs.1 baño65 m²con ascensor,PisoCiutat Vellahace 14 horas,1.350 € /mes
166,2 habs.2 baños115 m²con ascensor y terraza,PisoCiutat Vellahace 14 horas,2.000 € /mes
167,1 hab.1 baño40 m²,ApartamentoCiutat Vellahace 14 horas,850 € /mes
168,2 habs.2 baños121 m²,PisoCiutat Vellahace 14 horas,1.475 € /mes
169,1 hab.1 baño33 m²con ascensor,PisoCiutat Vellahace 14 horas,1.400 € /mes
170,2 habs.2 baños115 m²con ascensor,ApartamentoCiutat Vellahace 14 horas,4.000 € /mes
171,1 hab.1 baño36 m²,PisoCiutat Vellahace 14 horas,900 € /mes
172,3 habs.2 baños75 m²,PisoCiutat Vellahace 14 horas,950 € /mes
173,1 hab.1 baño68 m²,"PisoRec, Ciutat Vellahace 14 horas",1.300 € /mes
174,5 habs.3 baños395 m²con ascensor y terraza,ÁticoCiutat Vellahace 14 horas,5.250 € /mes
175,2 habs.2 baños103 m²con ascensor y terraza,PisoCiutat Vellahace 14 horas,1.250 € /mes
176,3 habs.2 baños85 m²con ascensor,PisoCiutat Vellahace 14 horas,1.100 € /mes
177,2 habs.2 baños120 m²con ascensor y terraza,PisoCiutat Vellahace 14 horas,2.000 € /mes
178,1 hab.1 baño68 m²con ascensor,PisoCiutat Vellahace 14 horas,1.100 € /mes
179,1 hab.1 baño50 m²con ascensor,PisoCiutat Vellahace 14 horas,1.100 € /mes
180,3 habs.2 baños122 m²con ascensor,PisoCiutat Vellahace 14 horas,1.600 € /mes
181,3 habs.2 baños85 m²con ascensor,PisoCiutat Vellahace 14 horas,1.800 € /mes
182,3 habs.1 baño70 m²,PisoCiutat Vellahace 14 horas,1.000 € /mes
183,2 habs.1 baño37 m²con ascensor,PisoCiutat Vellahace 14 horas,702 € /mes
184,4 habs.2 baños180 m²con terraza,PisoCiutat Vellahace 14 horas,3.000 € /mes
185,2 habs.2 baños120 m²con ascensor,PisoCiutat Vellahace 14 horas,1.700 € /mes
186,5 habs.2 baños112 m²,"PisoSanta Madrona, Ciutat Vellahace 14 horas",1.350 € /mes
187,3 habs.2 baños86 m²con ascensor,ÁticoCiutat Vellahace 14 horas,1.600 € /mes
188,3 habs.2 baños97 m²,PisoCiutat Vellahace 14 horas,1.175 € /mes
189,2 habs.2 baños46 m²con ascensor,PisoCiutat Vellahace 14 horas,1.250 € /mes
