,description,address,price
2575,4 habs.2 baños155 m²con ascensor,PisoSarrià - Sant Gervasihace 6 días,1.600 € /mes
2576,2 habs.1 baño72 m²con terraza,PisoHorta - Guinardóhace 6 días,1.100 € /mes
2577,4 habs.2 baños85 m²,PisoGràciahace 6 días,1.100 € /mes
2578,2 habs.1 baño58 m²con ascensor,PisoEixamplehace 6 días,826 € /mes
2579,4 habs.3 baños200 m²con ascensor y terraza,"PisoCarrer del Capità Arenas, Les Cortshace 6 días",2.600 € /mes
2580,1 baño35 m²con ascensor,"Planta bajaCarrer del Francolí, Sarrià - Sant Gervasihace 6 días",630 € /mes
2581,4 habs.2 baños130 m²con ascensor,"PisoCarrer de Les Santjoanistes, Sarrià - Sant Gervasihace 6 días",1.450 € /mes
2582,1 hab.1 baño16 m²con terraza,"EstudioPicalquers, Ciutat Vellahace 6 días",500 € /mes
2583,4 habs.2 baños100 m²,PisoEixamplehace 6 días,1.100 € /mes
2584,1 baño45 m²,LoftCiutat Vellahace 6 días,625 € /mes
2585,2 habs.2 baños103 m²con ascensor y terraza,"PisoCarrer del Consell de Cent, Eixamplehace 6 días",2.100 € /mes
2586,2 habs.1 baño40 m²con ascensor y terraza,"ÁticoAvinguda Diagonal, Eixamplehace 6 días",1.040 € /mes
2587,3 habs.1 baño86 m²con ascensor,"PisoCarrer del Comte D'urgell, Eixamplehace 6 días",1.080 € /mes
2588,2 habs.2 baños75 m²,"ApartamentoLa Rambla, Ciutat Vellahace 6 días",2.457 € /mes
2589,4 habs.1 baño140 m²,"ApartamentoTravessera de Gràcia, Horta - Guinardóhace 6 días",2.000 € /mes
2590,1 hab.1 baño40 m²,"ApartamentoPuerto Principe, Sant Andreuhace 6 días",900 € /mes
2591,2 habs.2 baños95 m²,"ApartamentoPassatge de Planell, Les Cortshace 6 días",1.500 € /mes
2592,2 habs.2 baños65 m²,"ApartamentoCarrer de la Marina, Eixamplehace 6 días",2.200 € /mes
2593,1 hab.1 baño38 m²,"PisoSocrates, Sant Andreuhace 6 días",550 € /mes
2594,3 habs.2 baños90 m²con ascensor y parking,"PisoJonquera, Sant Martíhace 6 días",1.900 € /mes
2595,1 hab.1 baño45 m²,"ApartamentoPasseig de Colom, Ciutat Vellahace 6 días",1.452 € /mes
2596,2 habs.1 baño86 m²,"ApartamentoCarrer de la Junta de Comerç, Ciutat Vellahace 6 días",1.500 € /mes
2597,1 hab.1 baño25 m²,"ApartamentoCarrer de Guardia, Ciutat Vellahace 6 días",850 € /mes
2598,2 habs.1 baño56 m²con ascensor y terraza,"PisoCarrer de Sepúlveda, Eixamplehace 6 días",1.350 € /mes
2599,3 habs.2 baños90 m²con ascensor,PisoHorta - Guinardóhace 6 días,936 € /mes
2600,4 habs.2 baños100 m²con ascensor,"PisoCarrer de las Navas de Tolosa, Sant Andreuhace 6 días",1.000 € /mes
2601,2 habs.1 baño61 m²con ascensor,"PisoMaspons, Gràciahace 6 días",890 € /mes
2602,2 habs.2 baños56 m²con ascensor y terraza,"PisoPasseig de Maragall, Horta - Guinardóhace 6 días",795 € /mes
2603,4 habs.2 baños133 m²con ascensor y terraza,"PisoBalmes, Eixamplehace 6 días",1.500 € /mes
2604,1 hab.2 baños57 m²con ascensor,"PisoCarrer de Casanova, 176, Eixamplehace 6 días",950 € /mes
2605,1 hab.2 baños57 m²con ascensor,"PisoCarrer de Casanova, 176, Eixamplehace 6 días",950 € /mes
2606,1 hab.1 baño50 m²con ascensor y terraza,"PisoCarrer de Felip II, Sant Andreuhace 6 días",850 € /mes
2607,3 habs.2 baños94 m²con ascensor y terraza,"PisoCarrer D'aribau, 280, Sarrià - Sant Gervasihace 6 días",1.250 € /mes
2608,2 habs.1 baño65 m²con ascensor,"PisoPasseig de Manuel Girona, Sarrià - Sant Gervasihace 6 días",1.550 € /mes
2609,1 hab.1 baño50 m²con ascensor,"PisoCarrer de Martí, Gràciahace 6 días",995 € /mes
2610,1 hab.1 baño40 m²,"PisoCarrer del Carme, Ciutat Vellahace 6 días",750 € /mes
2611,3 habs.2 baños88 m²con ascensor,"PisoCarrer de Pau Claris, Eixamplehace 6 días",1.545 € /mes
2612,1 hab.1 baño60 m²con ascensor,"PisoCarrer del Cardener, Gràciahace 6 días",1.200 € /mes
2613,2 habs.1 baño50 m²con ascensor,"PisoCarrer de Joaquín Costa, Ciutat Vellahace 6 días",1.400 € /mes
2614,1 hab.1 baño90 m²con ascensor y terraza,"PisoCarrer de Villarroel, Eixamplehace 6 días",1.550 € /mes
2615,3 habs.2 baños70 m²con ascensor,"PisoPlaça Universitat, Eixamplehace 6 días",1.795 € /mes
2616,2 habs.1 baño70 m²con ascensor y parking,"PisoCarrer de Ticià, Gràciahace 6 días",1.295 € /mes
2617,1 hab.1 baño30 m²con ascensor,"EstudioAvenida Vallcarca, 60, Gràciahace 6 días",500 € /mes
2618,1 hab.1 baño45 m²con ascensor,PisoCiutat Vellahace 6 días,700 € /mes
2619,3 habs.2 baños100 m²con ascensor,"PisoCarrer Lepant, Eixamplehace 6 días",900 € /mes
2620,4 habs.1 baño75 m²con ascensor,"PisoCarrer de Padilla, 230, Eixamplehace 6 días",1.100 € /mes
2621,3 habs.1 baño95 m²con ascensor y terraza,"PisoCarrer de Padilla, 230, Eixamplehace 6 días",1.200 € /mes
2622,3 habs.1 baño80 m²,"PisoCarrer de Joaquín Costa, Ciutat Vellahace 6 días",1.150 € /mes
2623,2 habs.1 baño84 m²con ascensor y terraza,"PisoMarques de Mulhacen, Sarrià - Sant Gervasihace 6 días",1.350 € /mes
2624,3 habs.2 baños82 m²con ascensor,"PisoCarrer D'aragó, 528, Eixamplehace 6 días",850 € /mes
2625,2 habs.1 baño60 m²,"PisoCarrer Jaume Roig, Sants - Montjuïchace 6 días",725 € /mes
2626,4 habs.3 baños197 m²con ascensor,"PisoPasseig de Gràcia, 97, Eixamplehace 6 días",2.805 € /mes
2627,2 habs.2 baños77 m²con ascensor y terraza,"PisoCarrer de Cartagena, 202, Eixamplehace 6 días",1.300 € /mes
2628,1 hab.1 baño51 m²con ascensor y terraza,"ApartamentoCarrer Valencia, Eixamplehace 6 días",1.500 € /mes
2629,2 habs.1 baño57 m²,"PisoCarrer de Vallirana, Sarrià - Sant Gervasihace 6 días",850 € /mes
2630,3 habs.2 baños100 m²con ascensor,"PisoCarrer de Provença, 116, Eixamplehace 6 días",1.256 € /mes
2631,4 habs.3 baños187 m²con ascensor y terraza,"ÁticoCarrer de Provença, Eixamplehace 6 días",2.650 € /mes
2632,2 habs.1 baño75 m²con ascensor,"PisoCarrer de Cartagena, Eixamplehace 6 días",900 € /mes
2633,4 habs.2 baños89 m²con ascensor y terraza,"PisoCarrer de València, 569, Sant Martíhace 6 días",1.020 € /mes
2634,1 hab.1 baño42 m²con ascensor,"PisoCarrer de Reus, 29, Sarrià - Sant Gervasihace 6 días",750 € /mes
2635,1 hab.1 baño42 m²con ascensor,"PisoCarrer de Reus, 29, Sarrià - Sant Gervasihace 6 días",750 € /mes
2636,2 habs.1 baño55 m²con ascensor y terraza,"ÁticoMuntaner, Sarrià - Sant Gervasihace 6 días",1.050 € /mes
2637,3 habs.2 baños87 m²con ascensor,"PisoGran Via Corts Catalanes, Sants - Montjuïchace 6 días",1.150 € /mes
2638,2 habs.2 baños70 m²con ascensor y terraza,"PisoCarrer del Comte Borrell, Eixamplehace 6 días",785 € /mes
2639,2 habs.1 baño77 m²con ascensor,"PisoRepublica Argentina, Sarrià - Sant Gervasihace 6 días",1.050 € /mes
2640,2 habs.1 baño65 m²con ascensor,"PisoCarrer Nou de la Rambla, Ciutat Vellahace 6 días",1.050 € /mes
2641,1 hab.1 baño45 m²con ascensor,"PisoCarrer Aulestia I Pijoan, 5, Gràciahace 6 días",870 € /mes
2642,4 habs.2 baños79 m²con ascensor,"PisoCarrer de Mallorca, 609, Sant Martíhace 6 días",960 € /mes
2643,2 habs.1 baño85 m²con ascensor y terraza,"PisoCarrer de Calàbria, Eixamplehace 6 días",1.250 € /mes
2644,2 habs.1 baño61 m²,"PisoCarrer del Pou, 64, Nou Barrishace 6 días",690 € /mes
2645,3 habs.2 baños85 m²con ascensor,"PisoRossello, Eixamplehace 6 días",1.190 € /mes
2646,3 habs.1 baño53 m²con ascensor,"PisoDrago, 13, Sant Andreuhace 6 días",700 € /mes
2647,4 habs.2 baños130 m²con ascensor y terraza,"PisoCarrer de Josep Pla, 45, Sant Martíhace 6 días",2.500 € /mes
2648,1 hab.1 baño50 m²,"PisoCarrer D'anglesola, Les Cortshace 6 días",850 € /mes
2649,5 habs.4 baños280 m²con terraza,"PisoPedro de la Creu, Sarrià - Sant Gervasihace 6 días",4.000 € /mes
2650,3 habs.1 baño80 m²,"PisoCarrer D'aragó, Eixamplehace 6 días",1.150 € /mes
2651,4 habs.2 baños86 m²,"PisoPasseig D'amunt, 34, Gràciahace 6 días",980 € /mes
2652,1 hab.1 baño50 m²con ascensor,"PisoCarrer de Roca I Batlle, 12, Sarrià - Sant Gervasihace 6 días",950 € /mes
2653,2 habs.2 baños69 m²con ascensor,PisoEixamplehace 6 días,1.250 € /mes
2654,2 habs.2 baños79 m²,"PisoCarrer Mare de Deu del Coll, 111, Gràciahace 6 días",925 € /mes
2655,2 habs.1 baño57 m²con ascensor,"PisoPlaça de la Gardunya, 6, Ciutat Vellahace 6 días",1.300 € /mes
2656,3 habs.2 baños82 m²con ascensor,"PisoCarrer D'europa, Les Cortshace 6 días",950 € /mes
2657,5 habs.2 baños125 m²con ascensor,"PisoCarrer D'aribau, Sarrià - Sant Gervasihace 6 días",1.400 € /mes
2658,2 habs.1 baño64 m²con ascensor,"PisoCarrer de Padilla, Horta - Guinardóhace 6 días",880 € /mes
2659,1 hab.1 baño50 m²con ascensor,"PisoCarrer D'entença, Eixamplehace 6 días",650 € /mes
2660,3 habs.2 baños124 m²con terraza,"PisoGran de Gracia, Gràciahace 6 días",1.200 € /mes
2661,3 habs.1 baño75 m²,"PisoCarrer Dos de Maig, Sant Martíhace 6 días",875 € /mes
2662,2 habs.1 baño50 m²con ascensor y terraza,"PisoCalabria, Eixamplehace 6 días",900 € /mes
2663,3 habs.2 baños70 m²con ascensor,"PisoCarrer de Joaquín Costa, Ciutat Vellahace 6 días",1.190 € /mes
2664,2 habs.2 baños142 m²con terraza,"PisoCarrer de Lope de Vega, Sant Martíhace 6 días",1.750 € /mes
2665,3 habs.1 baño69 m²con ascensor,"PisoCarrer Gran de la Sagrera, 109, Sant Andreuhace 6 días",790 € /mes
2666,4 habs.2 baños118 m²con ascensor,"PisoCarrer Dels Madrazo, 129, Sarrià - Sant Gervasihace 6 días",1.250 € /mes
2667,3 habs.1 baño79 m²con ascensor,"PisoTetuan, Eixamplehace 6 días",1.100 € /mes
2668,1 hab.1 baño45 m²,"PisoCarrer de Joaquín Costa, Ciutat Vellahace 6 días",995 € /mes
2669,2 habs.1 baño65 m²con ascensor y parking,"PisoCarrer de Fluvià, Sant Martíhace 6 días",1.200 € /mes
2670,2 habs.2 baños54 m²con ascensor,"PisoCarrer de L'olivera, Sants - Montjuïchace 6 días",1.090 € /mes
2671,2 habs.2 baños70 m²con ascensor y terraza,"PisoLepant , Eixamplehace 6 días",950 € /mes
2672,2 habs.2 baños62 m²con ascensor y parking,PisoCiutat Vellahace 6 días,1.500 € /mes
2673,3 habs.1 baño54 m²,PisoCiutat Vellahace 6 días,765 € /mes
2674,4 habs.2 baños72 m²con ascensor,PisoLes Cortshace 6 días,950 € /mes
2675,2 habs.1 baño56 m²con ascensor,PisoEixamplehace 6 días,750 € /mes
2676,1 hab.1 baño34 m²,PisoCiutat Vellahace 6 días,550 € /mes
2677,3 habs.1 baño70 m²con ascensor,PisoSant Martíhace 6 días,750 € /mes
2678,3 habs.2 baños72 m²con ascensor,PisoHorta - Guinardóhace 6 días,775 € /mes
2679,3 habs.1 baño59 m²,"PisoFlomesta, Sants - Montjuïchace 6 días",700 € /mes
2680,1 hab.1 baño28 m²,PisoGràciahace 6 días,650 € /mes
2681,1 hab.1 baño27 m²con ascensor,"PisoCarrer de Berlín, 51, Les Cortshace 6 días",560 € /mes
2682,1 hab.1 baño40 m²con ascensor y terraza,"PisoCarrer del Rector Bruguera, 28, Ciutat Vellahace 6 días",900 € /mes
2683,3 habs.1 baño70 m²,PisoCiutat Vellahace 6 días,820 € /mes
2684,4 habs.3 baños260 m²con terraza,Casa adosadaGràciahace 6 días,4.500 € /mes
2685,3 habs.2 baños152 m²con ascensor y terraza,"PisoPasseig de la Bonanova, Sarrià - Sant Gervasihace 6 días",3.300 € /mes
2686,3 habs.1 baño63 m²,PisoNou Barrishace 6 días,675 € /mes
2687,2 habs.1 baño52 m²con ascensor,"PisoCarrer del Consell de Cent, Eixamplehace 6 días",1.125 € /mes
2688,1 hab.1 baño48 m²con ascensor,"PisoCarrer del Consell de Cent, 223, Eixamplehace 6 días",995 € /mes
2689,3 habs.1 baño73 m²,PisoHorta - Guinardóhace 6 días,1.160 € /mes
2690,1 hab.1 baño60 m²con ascensor,PisoEixamplehace 6 días,1.150 € /mes
2691,4 habs.2 baños77 m²con ascensor,"PisoTravessera de Gràcia, 272, Gràciahace 6 días",1.000 € /mes
2692,2 habs.2 baños70 m²con ascensor,PisoSarrià - Sant Gervasihace 6 días,1.600 € /mes
2693,5 habs.4 baños300 m²con ascensor y terraza,PisoSarrià - Sant Gervasihace 6 días,4.000 € /mes
2694,3 habs.2 baños147 m²con ascensor,PisoSarrià - Sant Gervasihace 6 días,1.600 € /mes
2695,2 habs.1 baño67 m²con ascensor,"PisoCarrer Santa Tecla, Gràciahace 6 días",950 € /mes
2696,2 habs.1 baño72 m²con ascensor,PisoEixamplehace 6 días,1.150 € /mes
2697,4 habs.3 baños274 m²con ascensor y terraza,PisoSarrià - Sant Gervasihace 6 días,2.800 € /mes
2698,4 habs.3 baños200 m²con ascensor y terraza,PisoSarrià - Sant Gervasihace 6 días,2.650 € /mes
2699,2 habs.2 baños123 m²con ascensor y terraza,ÁticoSarrià - Sant Gervasihace 6 días,2.800 € /mes
2700,4 habs.3 baños155 m²con ascensor y terraza,PisoSarrià - Sant Gervasihace 6 días,3.200 € /mes
2701,3 habs.2 baños140 m²con ascensor y terraza,ÁticoSarrià - Sant Gervasihace 6 días,2.500 € /mes
2702,2 habs.1 baño53 m²,"PisoCarrer de Sepúlveda, Eixamplehace 6 días",1.290 € /mes
2703,5 habs.4 baños279 m²con ascensor,PisoSarrià - Sant Gervasihace 6 días,3.400 € /mes
2704,2 habs.1 baño50 m²,"PisoPlaça Vila de Gracia, Gràciahace 6 días",770 € /mes
2705,2 habs.2 baños70 m²con ascensor,PisoEixamplehace 6 días,1.150 € /mes
2706,3 habs.2 baños77 m²con ascensor,"PisoCarrer D'hondures, Sant Andreuhace 6 días",775 € /mes
2707,2 habs.1 baño56 m²con ascensor,"PisoCarrer Roger de Flor, Eixamplehace 6 días",850 € /mes
2708,2 habs.1 baño71 m²con ascensor,"PisoCarrer Padilla, Eixamplehace 6 días",1.050 € /mes
2709,3 habs.2 baños185 m²con ascensor,PisoSarrià - Sant Gervasihace 6 días,2.500 € /mes
2710,1 hab.1 baño49 m²con ascensor,"PisoCarrer Ca L´alegre de Dalt, 79, Gràciahace 6 días",775 € /mes
2711,2 habs.1 baño40 m²,PisoGràciahace 6 días,774 € /mes
2712,3 habs.1 baño85 m²con ascensor,PisoSarrià - Sant Gervasihace 6 días,1.300 € /mes
2713,1 hab.1 baño95 m²con ascensor,PisoSarrià - Sant Gervasihace 6 días,1.250 € /mes
2714,1 hab.1 baño48 m²con ascensor,"PisoCarrer la Rambla, Ciutat Vellahace 6 días",690 € /mes
2715,5 habs.4 baños220 m²con ascensor y terraza,"PisoAnglí, Sarrià - Sant Gervasihace 6 días",3.400 € /mes
2716,4 habs.3 baños138 m²con ascensor y terraza,"PisoPasseig de la Bonanova, Sarrià - Sant Gervasihace 6 días",2.900 € /mes
2717,3 habs.2 baños85 m²con ascensor y terraza,"PisoCarrer D'hondures, Sant Andreuhace 6 días",825 € /mes
2718,3 habs.1 baño73 m²,PisoSant Andreuhace 6 días,1.100 € /mes
2719,3 habs.1 baño69 m²con ascensor y terraza,"PisoFeliu I Codina, Horta - Guinardóhace 6 días",813 € /mes
2720,1 hab.1 baño60 m²con ascensor y terraza,PisoHorta - Guinardóhace 6 días,1.100 € /mes
2721,3 habs.1 baño82 m²con ascensor,"PisoDe Maria Auxiliadora, Sarrià - Sant Gervasihace 6 días",1.170 € /mes
2722,2 habs.2 baños80 m²,"PisoDe Jaume Piquet, Sarrià - Sant Gervasihace 6 días",1.175 € /mes
2723,5 habs.3 baños277 m²con ascensor,"ApartamentoFerran Agullo, Sarrià - Sant Gervasihace 6 días",3.850 € /mes
2724,2 habs.1 baño55 m²con ascensor,"PisoDel General Mitre, 13, Sarrià - Sant Gervasihace 6 días",830 € /mes
2725,2 habs.2 baños96 m²con ascensor y terraza,"PisoCarrer de Plató, Sarrià - Sant Gervasihace 6 días",2.090 € /mes
2726,5 habs.3 baños274 m²con ascensor y terraza,"ApartamentoAvenida Diagonal, Sarrià - Sant Gervasihace 6 días",3.164 € /mes
2727,1 hab.1 baño55 m²con ascensor,"ApartamentoSant Gervasi de Cassoles, Sarrià - Sant Gervasihace 6 días",1.200 € /mes
2728,4 habs.3 baños250 m²con ascensor,"PisoReina Victoria, Sarrià - Sant Gervasihace 6 días",2.900 € /mes
2729,1 hab.1 baño50 m²con ascensor y terraza,PisoEixamplehace 6 días,1.100 € /mes
2730,4 habs.1 baño90 m²,PisoEixamplehace 6 días,924 € /mes
2731,5 habs.3 baños149 m²con ascensor y terraza,"ApartamentoPlaza Adriano, Sarrià - Sant Gervasihace 6 días",2.300 € /mes
2732,3 habs.2 baños117 m²con ascensor,"ApartamentoBalmes, Sarrià - Sant Gervasihace 6 días",1.300 € /mes
2733,3 habs.3 baños97 m²con ascensor,"ApartamentoMuntaner, Sarrià - Sant Gervasihace 6 días",1.750 € /mes
2734,2 habs.1 baño86 m²con ascensor y terraza,"PisoCarrer de la Renaixença, Horta - Guinardóhace 6 días",925 € /mes
2735,3 habs.2 baños138 m²con ascensor y terraza,"PisoCarrer Dels Madrazo, Sarrià - Sant Gervasihace 6 días",2.095 € /mes
2736,1 hab.1 baño42 m²con ascensor,ApartamentoEixamplehace 6 días,1.150 € /mes
2737,9 habs.6 baños389 m²con terraza,"Casa o chaletRaset, Sarrià - Sant Gervasihace 6 días",9.000 € /mes
2738,2 habs.3 baños130 m²con terraza,"DúplexCarrer del Taulat, Sant Martíhace 6 días",2.500 € /mes
2739,3 habs.1 baño80 m²con ascensor,"PisoCarrer Dels Enamorats, Eixamplehace 6 días",950 € /mes
2740,4 habs.2 baños120 m²con ascensor y parking,"PisoGran Via de Carles III, Les Cortshace 6 días",1.250 € /mes
2741,3 habs.1 baño81 m²con ascensor,"PisoCarrer de Sardenya, Eixamplehace 6 días",1.000 € /mes
2742,3 habs.1 baño70 m²con ascensor,"PisoCarrer Marquès de Sentmenat, Les Cortshace 6 días",1.050 € /mes
2743,2 habs.1 baño76 m²con ascensor,"PisoCarrer de Sardenya, 355, Gràciahace 6 días",950 € /mes
2744,1 hab.1 baño35 m²con ascensor y terraza,"PisoBenet Mercadé, Gràciahace 6 días",850 € /mes
2745,1 baño56 m²con ascensor,"ApartamentoGalileu, Les Cortshace 6 días",940 € /mes
2746,2 habs.1 baño56 m²con ascensor,PisoEixamplehace 6 días,1.000 € /mes
2747,2 habs.1 baño58 m²con ascensor y terraza,ÁticoEixamplehace 6 días,1.050 € /mes
2748,4 habs.3 baños169 m²con ascensor,"PisoCarrer de Roger de Flor, Eixamplehace 6 días",1.450 € /mes
2749,2 habs.1 baño65 m²con ascensor y terraza,"PisoCarrer de Ticià, Gràciahace 6 días",1.250 € /mes
2750,2 habs.1 baño56 m²con ascensor,"PisoRonda General Mitre, 116, Sarrià - Sant Gervasihace 6 días",950 € /mes
2751,3 habs.2 baños95 m²con ascensor,"PisoAribau, Sarrià - Sant Gervasihace 6 días",1.200 € /mes
2752,2 habs.2 baños110 m²con ascensor,PisoHorta - Guinardóhace 6 días,2.000 € /mes
2753,3 habs.2 baños130 m²con ascensor y terraza,"PisoTorras I Pujalt, Sarrià - Sant Gervasihace 6 días",1.935 € /mes
2754,2 habs.59 m²,"PisoCarrer de L'om, Ciutat Vellahace 6 días",805 € /mes
2755,3 habs.3 baños131 m²con ascensor,"PisoDoctor Roux, Sarrià - Sant Gervasihace 6 días",2.200 € /mes
2756,1 hab.1 baño70 m²con ascensor y terraza,"ApartamentoRio del Oro, Sarrià - Sant Gervasihace 6 días",1.050 € /mes
2757,2 habs.1 baño88 m²con ascensor,PisoEixamplehace 6 días,1.150 € /mes
2758,1 hab.1 baño42 m²con terraza,"PisoCarrer de Sant Roc, Sants - Montjuïchace 6 días",795 € /mes
2759,1 hab.1 baño35 m²con ascensor,"EstudioBaixada de la Glòria, Gràciahace 6 días",500 € /mes
2760,2 habs.1 baño60 m²con ascensor,PisoNou Barrishace 6 días,880 € /mes
2761,2 habs.1 baño85 m²con ascensor,"PisoCarrer de la Marina, Sant Martíhace 6 días",980 € /mes
2762,3 habs.2 baños72 m²con ascensor y terraza,"ÁticoCarrer de la Indústria, Gràciahace 6 días",1.600 € /mes
2763,2 habs.2 baños80 m²con ascensor,"PisoCarrer Consell de Cent, Eixamplehace 6 días",1.150 € /mes
2764,3 habs.1 baño48 m²con ascensor,"PisoCarrer de Sardenya, Eixamplehace 6 días",850 € /mes
2765,1 hab.1 baño50 m²,PisoCiutat Vellahace 6 días,750 € /mes
2766,1 hab.1 baño56 m²,"PisoAvinguda de Gaudí, Eixamplehace 6 días",745 € /mes
2767,3 habs.3 baños110 m²con ascensor,"PisoVia Laietana, Ciutat Vellahace 6 días",2.700 € /mes
2768,2 habs.2 baños60 m²con ascensor,"PisoCarrer del Camp, Sarrià - Sant Gervasihace 6 días",1.400 € /mes
2769,2 habs.1 baño76 m²con ascensor y terraza,"PisoRambla de Catalunya, Eixamplehace 6 días",1.650 € /mes
2770,4 habs.4 baños398 m²con ascensor y terraza,"ÁticoCarrer del Dr. Carulla, Sarrià - Sant Gervasihace 6 días",5.200 € /mes
2771,5 habs.2 baños170 m²con ascensor y terraza,"PisoAvinguda Diagonal, Les Cortshace 6 días",3.000 € /mes
2772,1 hab.1 baño65 m²con ascensor,"PisoCarrer de Balmes, Eixamplehace 6 días",1.272 € /mes
2773,2 habs.2 baños105 m²con ascensor y terraza,"PisoPasseig D'isabel II, Ciutat Vellahace 6 días",3.800 € /mes
2774,1 hab.1 baño44 m²con ascensor,"PisoCarrer D'alfons XII, Sarrià - Sant Gervasihace 6 días",860 € /mes
2775,1 hab.1 baño50 m²,"PisoCarrer de Santa Magdalena Sofia, Sarrià - Sant Gervasihace 6 días",1.100 € /mes
2776,3 habs.2 baños150 m²con ascensor,"PisoCarrer de Tòquio, Les Cortshace 6 días",2.450 € /mes
2777,5 habs.5 baños420 m²con terraza,"Casa o chaletSant Pere Claver, Sarrià - Sant Gervasihace 6 días",7.700 € /mes
2778,2 habs.2 baños70 m²con ascensor,"PisoCarrer de Balmes, Eixamplehace 6 días",2.500 € /mes
2779,2 habs.2 baños81 m²con ascensor,"PisoRonda del General Mitre, Sarrià - Sant Gervasihace 6 días",1.500 € /mes
2780,1 hab.1 baño49 m²con ascensor,"PisoCarrer de Castanyer, Sarrià - Sant Gervasihace 6 días",1.000 € /mes
2781,2 habs.2 baños105 m²con ascensor y terraza,"PisoPasseig Isabel II, Ciutat Vellahace 6 días",3.800 € /mes
2782,3 habs.3 baños140 m²con ascensor y terraza,"PisoCarrer de Ganduxer, Sarrià - Sant Gervasihace 6 días",2.800 € /mes
2783,2 habs.2 baños95 m²con ascensor,"PisoCarrer de Les Portadores, Ciutat Vellahace 6 días",2.000 € /mes
2784,1 hab.1 baño70 m²con ascensor y terraza,"PisoPasseig D'isabel II, 2, Barcelona, España, Ciutat Vellahace 6 días",2.800 € /mes
2785,5 habs.3 baños300 m²con ascensor y terraza,"PisoAvinguda Diagonal, Les Cortshace 6 días",2.950 € /mes
2786,3 habs.3 baños180 m²con ascensor y terraza,"PisoPaseo de Gracia , Eixamplehace 6 días",10.000 € /mes
2787,3 habs.2 baños85 m²con ascensor,"PisoAv. de Francesc Cambó, Ciutat Vellahace 6 días",1.600 € /mes
2788,4 habs.2 baños80 m²,"PisoCarrer de la Marina, Eixamplehace 6 días",1.098 € /mes
2789,3 habs.2 baños80 m²con ascensor,"PisoCarrer de Muntaner, Sarrià - Sant Gervasihace 6 días",1.500 € /mes
2790,2 habs.1 baño76 m²con ascensor,"PisoPlaça de Francesc Macià, Eixamplehace 6 días",1.079 € /mes
2791,1 hab.1 baño58 m²con ascensor,"PisoPassatge del Patriarca, Ciutat Vellahace 6 días",1.800 € /mes
2792,2 habs.1 baño99 m²,"PisoPlaça de Francesc Macià, Eixamplehace 6 días",1.260 € /mes
2793,3 habs.2 baños80 m²con ascensor,"PisoCarrer de Balmes, Sarrià - Sant Gervasihace 6 días",1.280 € /mes
2794,3 habs.1 baño69 m²,PisoSants - Montjuïchace 6 días,890 € /mes
2795,1 hab.1 baño46 m²,"PisoCarrer Dels Enamorats, Eixamplehace 6 días",900 € /mes
2796,3 habs.2 baños100 m²con ascensor,"PisoPlaça Comercial, Ciutat Vellahace 6 días",2.500 € /mes
2797,3 habs.2 baños135 m²con ascensor,"PisoCarrer Ample, Ciutat Vellahace 6 días",2.700 € /mes
2798,2 habs.2 baños69 m²con ascensor,"PisoCarrer de Valldonzella, Ciutat Vellahace 6 días",1.100 € /mes
2799,5 habs.5 baños270 m²con ascensor y terraza,"PisoCarrer de Ganduxer, Sarrià - Sant Gervasihace 6 días",5.000 € /mes
2800,3 habs.2 baños140 m²con ascensor,"PisoCarrer de Jacinto Benavente, Sarrià - Sant Gervasihace 6 días",3.200 € /mes
2801,1 hab.1 baño60 m²con ascensor,"PisoCarrer de Ravella, Sarrià - Sant Gervasihace 6 días",975 € /mes
2802,1 hab.1 baño52 m²,"PisoCarrer de Santa Magdalena Sofia, Sarrià - Sant Gervasihace 6 días",1.050 € /mes
2803,2 habs.1 baño89 m²con ascensor,"PisoCarrer de Mejía Lequerica, Les Cortshace 6 días",1.200 € /mes
2804,5 habs.3 baños130 m²con ascensor y terraza,"PisoPlaça D'adrià, Sarrià - Sant Gervasihace 6 días",2.300 € /mes
2805,2 habs.2 baños139 m²con ascensor y terraza,"PisoVia Augusta, Sarrià - Sant Gervasihace 6 días",2.568 € /mes
2806,3 habs.1 baño84 m²con ascensor,"PisoCarrer D'aribau, Sarrià - Sant Gervasihace 6 días",1.089 € /mes
2807,3 habs.2 baños90 m²con ascensor,"PisoAv. de Pompeu Fabra, Gràciahace 6 días",1.500 € /mes
2808,4 habs.3 baños184 m²con ascensor y terraza,"PisoCarrer de la Nena Casas, Sarrià - Sant Gervasihace 6 días",3.250 € /mes
2809,3 habs.2 baños120 m²con ascensor y terraza,"PisoPasseig de Manuel Girona, Sarrià - Sant Gervasihace 6 días",2.250 € /mes
2810,2 habs.1 baño45 m²,"PisoCarrer de la Proclamació, Ciutat Vellahace 6 días",1.350 € /mes
2811,3 habs.2 baños90 m²con ascensor y terraza,"PisoC/ Dels Madrazo, Sarrià - Sant Gervasihace 6 días",1.250 € /mes
2812,3 habs.3 baños170 m²con ascensor y terraza,"PisoVia Augusta, Sarrià - Sant Gervasihace 6 días",2.500 € /mes
2813,3 habs.2 baños114 m²con ascensor y terraza,"PisoCarrer de Casp, Eixamplehace 6 días",3.885 € /mes
2814,1 hab.1 baño63 m²con ascensor,"PisoPortaferrissa , Ciutat Vellahace 6 días",1.050 € /mes
